text	dialect	author	work	birthplace	confidence
"ERESIAK JESUSI

GAROA elebarriatik

ONDARRIBI

LARRALDEKO LOREA — A."	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"Kanpionen liburutik

ARANTZAZU-KO AMARI

AMATXU NERIAK..."	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
Iturria: «Txomin Agirreren heriotzaren 75.	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
urtean, bere olerki guztien bilduma» (Julen Urkizaren edizioa).	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"Olerki guztiak

Domingo Agirre

1890-1918, 1995

     
[liburua osorik RTF formatuan]

     
[Literaturaren Zubitegia]

ON PEDRO NOBIA SALZEDO-KUAREN
JAIOTZAKO LELENGO EUNKIDAN

IPUIA

AMA BAT!"	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"ARITZARI TA EUSKALDUNERI

ITXAS-ALDIAN

MARINELA

NAIKUA JUAT

KANTARIAK

ITXAS-ERTZIAN

ZER PAKEA!"	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"AGURE-KANTA

GEKNIKA'RI

ZARA'KO LOREA

LORA BATZUK

JESUS'EN BIOTZARI

AI BALEKITE!"	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"AUÑEMENDIKO LOREA
elebarriatik

SEASKATXO BAT!"	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"ERESIAK JESUSI

GAROA elebarriatik

ONDARRIBI

LARRALDEKO LOREA — A."	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"Kanpionen liburutik

ARANTZAZU-KO AMARI

AMATXU NERIAK..."	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
Iturria: «Txomin Agirreren heriotzaren 75.	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
urtean, bere olerki guztien bilduma» (Julen Urkizaren edizioa).	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"Olerki guztiak

Domingo Agirre

1890-1918, 1995

     
[liburua osorik RTF formatuan]

     
[Literaturaren Zubitegia]

ON PEDRO NOBIA SALZEDO-KUAREN
JAIOTZAKO LELENGO EUNKIDAN

IPUIA

AMA BAT!"	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"ARITZARI TA EUSKALDUNERI

ITXAS-ALDIAN

MARINELA

NAIKUA JUAT

KANTARIAK

ITXAS-ERTZIAN

ZER PAKEA!"	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"AGURE-KANTA

GEKNIKA'RI

ZARA'KO LOREA

LORA BATZUK

JESUS'EN BIOTZARI

AI BALEKITE!"	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"AUÑEMENDIKO LOREA
elebarriatik

SEASKATXO BAT!"	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"ERESIAK JESUSI

GAROA elebarriatik

ONDARRIBI

LARRALDEKO LOREA — A."	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"Kanpionen liburutik

ARANTZAZU-KO AMARI

AMATXU NERIAK..."	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
Iturria: «Txomin Agirreren heriotzaren 75.	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
urtean, bere olerki guztien bilduma» (Julen Urkizaren edizioa).	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"Olerki guztiak

Domingo Agirre

1890-1918, 1995

     
[liburua osorik RTF formatuan]

     
[Literaturaren Zubitegia]

ON PEDRO NOBIA SALZEDO-KUAREN
JAIOTZAKO LELENGO EUNKIDAN

IPUIA

AMA BAT!"	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"ARITZARI TA EUSKALDUNERI

ITXAS-ALDIAN

MARINELA

NAIKUA JUAT

KANTARIAK

ITXAS-ERTZIAN

ZER PAKEA!"	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"AGURE-KANTA

GEKNIKA'RI

ZARA'KO LOREA

LORA BATZUK

JESUS'EN BIOTZARI

AI BALEKITE!"	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"AUÑEMENDIKO LOREA
elebarriatik

SEASKATXO BAT!"	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"ERESIAK JESUSI

GAROA elebarriatik

ONDARRIBI

LARRALDEKO LOREA — A."	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"Kanpionen liburutik

ARANTZAZU-KO AMARI

AMATXU NERIAK..."	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
Iturria: «Txomin Agirreren heriotzaren 75.	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
urtean, bere olerki guztien bilduma» (Julen Urkizaren edizioa).	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"Olerki guztiak

Domingo Agirre

1890-1918, 1995

     
[liburua osorik RTF formatuan]

     
[Literaturaren Zubitegia]

ON PEDRO NOBIA SALZEDO-KUAREN
JAIOTZAKO LELENGO EUNKIDAN

IPUIA

AMA BAT!"	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"ARITZARI TA EUSKALDUNERI

ITXAS-ALDIAN

MARINELA

NAIKUA JUAT

KANTARIAK

ITXAS-ERTZIAN

ZER PAKEA!"	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"AGURE-KANTA

GEKNIKA'RI

ZARA'KO LOREA

LORA BATZUK

JESUS'EN BIOTZARI

AI BALEKITE!"	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"AUÑEMENDIKO LOREA
elebarriatik

SEASKATXO BAT!"	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"ERESIAK JESUSI

GAROA elebarriatik

ONDARRIBI

LARRALDEKO LOREA — A."	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"Kanpionen liburutik

ARANTZAZU-KO AMARI

AMATXU NERIAK..."	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
Iturria: «Txomin Agirreren heriotzaren 75.	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
urtean, bere olerki guztien bilduma» (Julen Urkizaren edizioa).	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"Olerki guztiak

Domingo Agirre

1890-1918, 1995

     
[liburua osorik RTF formatuan]

     
[Literaturaren Zubitegia]

ON PEDRO NOBIA SALZEDO-KUAREN
JAIOTZAKO LELENGO EUNKIDAN

IPUIA

AMA BAT!"	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"ARITZARI TA EUSKALDUNERI

ITXAS-ALDIAN

MARINELA

NAIKUA JUAT

KANTARIAK

ITXAS-ERTZIAN

ZER PAKEA!"	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"AGURE-KANTA

GEKNIKA'RI

ZARA'KO LOREA

LORA BATZUK

JESUS'EN BIOTZARI

AI BALEKITE!"	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"AUÑEMENDIKO LOREA
elebarriatik

SEASKATXO BAT!"	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"ERESIAK JESUSI

GAROA elebarriatik

ONDARRIBI

LARRALDEKO LOREA — A."	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"Kanpionen liburutik

ARANTZAZU-KO AMARI

AMATXU NERIAK..."	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
Iturria: «Txomin Agirreren heriotzaren 75.	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
urtean, bere olerki guztien bilduma» (Julen Urkizaren edizioa).	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"Olerki guztiak

Domingo Agirre

1890-1918, 1995

     
[liburua osorik RTF formatuan]

     
[Literaturaren Zubitegia]

ON PEDRO NOBIA SALZEDO-KUAREN
JAIOTZAKO LELENGO EUNKIDAN

IPUIA

AMA BAT!"	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"ARITZARI TA EUSKALDUNERI

ITXAS-ALDIAN

MARINELA

NAIKUA JUAT

KANTARIAK

ITXAS-ERTZIAN

ZER PAKEA!"	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"AGURE-KANTA

GEKNIKA'RI

ZARA'KO LOREA

LORA BATZUK

JESUS'EN BIOTZARI

AI BALEKITE!"	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"AUÑEMENDIKO LOREA
elebarriatik

SEASKATXO BAT!"	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"ERESIAK JESUSI

GAROA elebarriatik

ONDARRIBI

LARRALDEKO LOREA — A."	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"Kanpionen liburutik

ARANTZAZU-KO AMARI

AMATXU NERIAK..."	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
Iturria: «Txomin Agirreren heriotzaren 75.	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
urtean, bere olerki guztien bilduma» (Julen Urkizaren edizioa).	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"Olerki guztiak

Domingo Agirre

1890-1918, 1995

     
[liburua osorik RTF formatuan]

     
[Literaturaren Zubitegia]

ON PEDRO NOBIA SALZEDO-KUAREN
JAIOTZAKO LELENGO EUNKIDAN

IPUIA

AMA BAT!"	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"ARITZARI TA EUSKALDUNERI

ITXAS-ALDIAN

MARINELA

NAIKUA JUAT

KANTARIAK

ITXAS-ERTZIAN

ZER PAKEA!"	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"AGURE-KANTA

GEKNIKA'RI

ZARA'KO LOREA

LORA BATZUK

JESUS'EN BIOTZARI

AI BALEKITE!"	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"AUÑEMENDIKO LOREA
elebarriatik

SEASKATXO BAT!"	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"ERESIAK JESUSI

GAROA elebarriatik

ONDARRIBI

LARRALDEKO LOREA — A."	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"Kanpionen liburutik

ARANTZAZU-KO AMARI

AMATXU NERIAK..."	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
Iturria: «Txomin Agirreren heriotzaren 75.	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
urtean, bere olerki guztien bilduma» (Julen Urkizaren edizioa).	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"Olerki guztiak

Domingo Agirre

1890-1918, 1995

     
[liburua osorik RTF formatuan]

     
[Literaturaren Zubitegia]

ON PEDRO NOBIA SALZEDO-KUAREN
JAIOTZAKO LELENGO EUNKIDAN

IPUIA

AMA BAT!"	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"ARITZARI TA EUSKALDUNERI

ITXAS-ALDIAN

MARINELA

NAIKUA JUAT

KANTARIAK

ITXAS-ERTZIAN

ZER PAKEA!"	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"AGURE-KANTA

GEKNIKA'RI

ZARA'KO LOREA

LORA BATZUK

JESUS'EN BIOTZARI

AI BALEKITE!"	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"AUÑEMENDIKO LOREA
elebarriatik

SEASKATXO BAT!"	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"ERESIAK JESUSI

GAROA elebarriatik

ONDARRIBI

LARRALDEKO LOREA — A."	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"Kanpionen liburutik

ARANTZAZU-KO AMARI

AMATXU NERIAK..."	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
Iturria: «Txomin Agirreren heriotzaren 75.	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
urtean, bere olerki guztien bilduma» (Julen Urkizaren edizioa).	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"Olerki guztiak

Domingo Agirre

1890-1918, 1995

     
[liburua osorik RTF formatuan]

     
[Literaturaren Zubitegia]

ON PEDRO NOBIA SALZEDO-KUAREN
JAIOTZAKO LELENGO EUNKIDAN

IPUIA

AMA BAT!"	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"ARITZARI TA EUSKALDUNERI

ITXAS-ALDIAN

MARINELA

NAIKUA JUAT

KANTARIAK

ITXAS-ERTZIAN

ZER PAKEA!"	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"AGURE-KANTA

GEKNIKA'RI

ZARA'KO LOREA

LORA BATZUK

JESUS'EN BIOTZARI

AI BALEKITE!"	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"AUÑEMENDIKO LOREA
elebarriatik

SEASKATXO BAT!"	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"ERESIAK JESUSI

GAROA elebarriatik

ONDARRIBI

LARRALDEKO LOREA — A."	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"Kanpionen liburutik

ARANTZAZU-KO AMARI

AMATXU NERIAK..."	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
Iturria: «Txomin Agirreren heriotzaren 75.	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
urtean, bere olerki guztien bilduma» (Julen Urkizaren edizioa).	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"Olerki guztiak

Domingo Agirre

1890-1918, 1995

     
[liburua osorik RTF formatuan]

     
[Literaturaren Zubitegia]

ON PEDRO NOBIA SALZEDO-KUAREN
JAIOTZAKO LELENGO EUNKIDAN

IPUIA

AMA BAT!"	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"ARITZARI TA EUSKALDUNERI

ITXAS-ALDIAN

MARINELA

NAIKUA JUAT

KANTARIAK

ITXAS-ERTZIAN

ZER PAKEA!"	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"AGURE-KANTA

GEKNIKA'RI

ZARA'KO LOREA

LORA BATZUK

JESUS'EN BIOTZARI

AI BALEKITE!"	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"AUÑEMENDIKO LOREA
elebarriatik

SEASKATXO BAT!"	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"ERESIAK JESUSI

GAROA elebarriatik

ONDARRIBI

LARRALDEKO LOREA — A."	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"Kanpionen liburutik

ARANTZAZU-KO AMARI

AMATXU NERIAK..."	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
Iturria: «Txomin Agirreren heriotzaren 75.	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
urtean, bere olerki guztien bilduma» (Julen Urkizaren edizioa).	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"Olerki guztiak

Domingo Agirre

1890-1918, 1995

     
[liburua osorik RTF formatuan]

     
[Literaturaren Zubitegia]

ON PEDRO NOBIA SALZEDO-KUAREN
JAIOTZAKO LELENGO EUNKIDAN

IPUIA

AMA BAT!"	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"ARITZARI TA EUSKALDUNERI

ITXAS-ALDIAN

MARINELA

NAIKUA JUAT

KANTARIAK

ITXAS-ERTZIAN

ZER PAKEA!"	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"AGURE-KANTA

GEKNIKA'RI

ZARA'KO LOREA

LORA BATZUK

JESUS'EN BIOTZARI

AI BALEKITE!"	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"AUÑEMENDIKO LOREA
elebarriatik

SEASKATXO BAT!"	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"ERESIAK JESUSI

GAROA elebarriatik

ONDARRIBI

LARRALDEKO LOREA — A."	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"Kanpionen liburutik

ARANTZAZU-KO AMARI

AMATXU NERIAK..."	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
Iturria: «Txomin Agirreren heriotzaren 75.	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
urtean, bere olerki guztien bilduma» (Julen Urkizaren edizioa).	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"Olerki guztiak

Domingo Agirre

1890-1918, 1995

     
[liburua osorik RTF formatuan]

     
[Literaturaren Zubitegia]

ON PEDRO NOBIA SALZEDO-KUAREN
JAIOTZAKO LELENGO EUNKIDAN

IPUIA

AMA BAT!"	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"ARITZARI TA EUSKALDUNERI

ITXAS-ALDIAN

MARINELA

NAIKUA JUAT

KANTARIAK

ITXAS-ERTZIAN

ZER PAKEA!"	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"AGURE-KANTA

GEKNIKA'RI

ZARA'KO LOREA

LORA BATZUK

JESUS'EN BIOTZARI

AI BALEKITE!"	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"AUÑEMENDIKO LOREA
elebarriatik

SEASKATXO BAT!"	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"ERESIAK JESUSI

GAROA elebarriatik

ONDARRIBI

LARRALDEKO LOREA — A."	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"Kanpionen liburutik

ARANTZAZU-KO AMARI

AMATXU NERIAK..."	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
Iturria: «Txomin Agirreren heriotzaren 75.	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
urtean, bere olerki guztien bilduma» (Julen Urkizaren edizioa).	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"Olerki guztiak

Domingo Agirre

1890-1918, 1995

     
[liburua osorik RTF formatuan]

     
[Literaturaren Zubitegia]

ON PEDRO NOBIA SALZEDO-KUAREN
JAIOTZAKO LELENGO EUNKIDAN

IPUIA

AMA BAT!"	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"ARITZARI TA EUSKALDUNERI

ITXAS-ALDIAN

MARINELA

NAIKUA JUAT

KANTARIAK

ITXAS-ERTZIAN

ZER PAKEA!"	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"AGURE-KANTA

GEKNIKA'RI

ZARA'KO LOREA

LORA BATZUK

JESUS'EN BIOTZARI

AI BALEKITE!"	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"AUÑEMENDIKO LOREA
elebarriatik

SEASKATXO BAT!"	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"ERESIAK JESUSI

GAROA elebarriatik

ONDARRIBI

LARRALDEKO LOREA — A."	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"Kanpionen liburutik

ARANTZAZU-KO AMARI

AMATXU NERIAK..."	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
Iturria: «Txomin Agirreren heriotzaren 75.	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
urtean, bere olerki guztien bilduma» (Julen Urkizaren edizioa).	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"Olerki guztiak

Domingo Agirre

1890-1918, 1995

     
[liburua osorik RTF formatuan]

     
[Literaturaren Zubitegia]

ON PEDRO NOBIA SALZEDO-KUAREN
JAIOTZAKO LELENGO EUNKIDAN

IPUIA

AMA BAT!"	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"ARITZARI TA EUSKALDUNERI

ITXAS-ALDIAN

MARINELA

NAIKUA JUAT

KANTARIAK

ITXAS-ERTZIAN

ZER PAKEA!"	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
"AGURE-KANTA

GEKNIKA'RI

ZARA'KO LOREA

LORA BATZUK

JESUS'EN BIOTZARI

AI BALEKITE!"	western	Olerki guztiak	Olerki guztiak	Ondarroa - Bizkaia	high
